Type,Count,Avg_Total_Lat,Avg_Issue_Lat,Not_Taken,Mispredicted,Saturated,Location,Line Number,Line,Function,Assembly
IND,12073,241.01,240.01,0,0,0,/home/ubuntu/rocksdb/util/coding.h,109,"    if ((result & 128) == 0) {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,tbz w19  #7  #0x4a3e2c
IND,12073,150.27,149.27,18,0,0,/home/ubuntu/rocksdb/db/dbformat.h,1112,"  if (r == 0) {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,cbnz w0  #0x4a3dfc
IND,12093,148.92,147.92,26,25,0,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,cbnz w0  #0x716694
IND,5797,288.94,287.94,0,0,0,/home/ubuntu/rocksdb/util/coding.h,109,"    if ((result & 128) == 0) {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,tbz w19  #7  #0x4a3e2c
IND,12229,133.25,132.25,0,0,0,(null),0,(null),(null),(null)
IND,12302,128.32,127.32,12300,0,0,(null),0,(null),(null),(null)
IND,10500,149.56,148.56,10500,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,562,"    if (cmp == 0 || (cmp > 0 && level == 0)) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,cbz w0  #0x5e6da0
IND,10207,149.41,148.41,9978,224,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,562,"    if (cmp == 0 || (cmp > 0 && level == 0)) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,b.eq #0x5e6da0
IND,10165,146.33,145.33,8079,2004,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,564,"    } else if (cmp < 0) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,tbz w0  #0x1f  #0x5e6d00
IND,11121,98.93,97.93,10339,695,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,560,"                  ? 1",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,b.eq #0x5e6cfc
IND,8369,128.76,127.76,171,46,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,547,"    if (next != nullptr) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,cbnz x19  #0x5e6d20
IND,5733,167.84,166.84,14,0,0,/home/ubuntu/rocksdb/db/dbformat.h,1112,"  if (r == 0) {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,cbnz w0  #0x4a3dfc
IND,5836,164.40,163.40,15,15,0,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,cbnz w0  #0x716694
IND,5985,156.15,155.15,0,0,0,(null),0,(null),(null),(null)
IND,5910,153.94,152.94,5910,0,0,(null),0,(null),(null),(null)
IND,4994,173.42,172.42,4878,113,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,562,"    if (cmp == 0 || (cmp > 0 && level == 0)) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,b.eq #0x5e6da0
IND,4954,172.01,171.01,3997,937,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,564,"    } else if (cmp < 0) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,tbz w0  #0x1f  #0x5e6d00
IND,4935,170.80,169.80,4935,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,562,"    if (cmp == 0 || (cmp > 0 && level == 0)) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,cbz w0  #0x5e6da0
IND,5347,114.44,113.44,5000,307,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,560,"                  ? 1",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,b.eq #0x5e6cfc
IND,4085,148.52,147.52,97,22,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,547,"    if (next != nullptr) {",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,cbnz x19  #0x5e6d20
IND,35814,7.82,6.82,0,0,0,(null),0,(null),(null),(null)
IND,12021,19.54,18.54,12021,0,0,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,cbz w2  #0x5f499c
IND,12027,19.16,18.16,12027,0,0,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,b.ne #0x4a3e40
IND,12021,18.52,17.52,0,1,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,blr x3
IND,12217,18.20,17.20,12217,0,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,b.ls #0x4a3db8
IND,10400,20.46,19.46,0,0,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,561,"                  : compare_(next->Key(), key_decoded);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,blr x3
IND,1510,124.39,123.39,1191,298,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,529,"  return (n != nullptr) && (compare_(n->Key(), key) < 0);",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,tbz w0  #0x1f  #0x5e729c
IND,12015,14.48,13.48,0,0,0,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ret 
IND,12035,14.19,13.19,0,0,0,/home/ubuntu/rocksdb/monitoring/perf_context.cc,172,"thread_local PerfContext perf_context;",__tls_init,ret 
IND,12049,13.87,12.87,0,0,0,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ret 
IND,12014,13.71,12.71,0,2,0,???,0,???,???,???
IND,12133,13.46,12.46,0,0,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,blr x1
IND,12122,13.39,12.39,0,0,0,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,blr x2
IND,12169,12.57,11.57,0,2,0,???,0,???,???,???
IND,1702,86.63,85.63,1678,4,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,884,"    if (next != nullptr) {",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,cbz x19  #0x5e729c
IND,11905,12.32,11.32,0,1,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,blr x1
IND,11860,11.54,10.54,0,0,0,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,cbz x0  #0x4a3d78
IND,17310,7.74,6.74,0,0,0,(null),0,(null),(null),(null)
IND,1483,76.98,75.98,1398,73,0,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,895,"    if (next == after || !KeyIsAfterNode(key, next)) {",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,b.eq #0x5e733c
