L1 (%),L1 bins (% | % | % | %),L2 (%),L2 bins (% | % | % | %),L3 (%),L3 bins (% | % | % | %),DRAM (%),DRAM bins (% | % | % | %),Location,Line Number,Line,Function,Assembly
86.35,29.66 | 22.23 | 8.52 | 39.60,5.55,0.00 | 56.38 | 42.58 | 1.04,2.49,0.00 | 0.00 | 44.22 | 55.78,5.61,0.00 | 0.00 | 0.00 | 100.00,/home/ubuntu/rocksdb/util/coding.h,108,"    uint32_t result = *(reinterpret_cast<const unsigned char*>(p));",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldrb w19  [x1]
73.28,33.08 | 23.56 | 6.52 | 36.85,10.96,0.00 | 68.03 | 31.23 | 0.74,4.89,0.00 | 0.00 | 47.99 | 52.01,10.87,0.00 | 0.00 | 0.00 | 100.00,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x0  [x1]
99.42,50.97 | 41.69 | 5.99 | 1.34,0.56,0.00 | 17.39 | 73.91 | 8.70,0.01,0.00 | 0.00 | 100.00 | 0.00,0.01,0.00 | 0.00 | 0.00 | 100.00,(null),0,(null),(null),(null)
100.00,62.69 | 37.26 | 0.06 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,(null),0,(null),(null),(null)
91.16,61.21 | 38.24 | 0.54 | 0.01,8.57,0.00 | 31.75 | 55.80 | 12.45,0.07,0.00 | 0.00 | 66.67 | 33.33,0.20,0.00 | 0.00 | 0.00 | 100.00,(null),0,(null),(null),(null)
85.03,26.23 | 20.30 | 7.00 | 46.46,4.85,0.00 | 48.58 | 48.58 | 2.84,3.05,0.00 | 0.00 | 42.37 | 57.63,7.07,0.00 | 0.00 | 0.00 | 100.00,/home/ubuntu/rocksdb/util/coding.h,108,"    uint32_t result = *(reinterpret_cast<const unsigned char*>(p));",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldrb w19  [x1]
100.00,12.86 | 36.04 | 12.46 | 38.64,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x0  x20  [x1]
69.28,28.35 | 23.29 | 5.50 | 42.87,11.44,0.00 | 62.60 | 35.91 | 1.48,5.11,0.00 | 0.00 | 38.01 | 61.99,14.17,0.00 | 0.00 | 0.00 | 100.00,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x0  [x1]
99.99,14.51 | 37.54 | 10.48 | 37.47,0.01,0.00 | 0.00 | 0.00 | 100.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x19  x20  [sp  #0x10]
99.53,31.99 | 21.21 | 9.93 | 36.87,0.12,0.00 | 70.00 | 30.00 | 0.00,0.10,0.00 | 0.00 | 100.00 | 0.00,0.25,0.00 | 0.00 | 0.00 | 100.00,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x19  [x2]
99.38,53.61 | 38.96 | 6.16 | 1.27,0.59,0.00 | 11.43 | 85.71 | 2.86,0.00,0.00 | 0.00 | 0.00 | 0.00,0.03,0.00 | 0.00 | 0.00 | 100.00,(null),0,(null),(null),(null)
100.00,65.79 | 34.19 | 0.02 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,(null),0,(null),(null),(null)
90.74,63.68 | 35.78 | 0.55 | 0.00,9.01,0.00 | 32.26 | 55.03 | 12.71,0.10,0.00 | 0.00 | 33.33 | 66.67,0.15,0.00 | 0.00 | 0.00 | 100.00,(null),0,(null),(null),(null)
100.00,12.60 | 32.75 | 10.47 | 44.17,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x19  x20  [sp  #0x10]
100.00,12.32 | 31.53 | 12.32 | 43.83,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/comparator.cc,160,"    return -a.compare(b);",_ZThn32_NK7rocksdb12_GLOBAL__N_122BytewiseComparatorImpl7CompareERKNS_5SliceES4_,ldp x0  x20  [x1]
99.75,29.10 | 17.84 | 9.55 | 43.50,0.10,0.00 | 50.00 | 50.00 | 0.00,0.03,0.00 | 0.00 | 100.00 | 0.00,0.13,0.00 | 0.00 | 0.00 | 100.00,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x19  [x2]
100.00,81.10 | 18.87 | 0.02 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,(null),0,(null),(null),(null)
81.74,39.71 | 19.59 | 7.62 | 33.08,9.78,0.00 | 79.62 | 18.47 | 1.91,3.68,0.00 | 0.00 | 54.24 | 45.76,4.80,0.00 | 0.00 | 0.00 | 100.00,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x0  [x0]
94.34,34.29 | 25.50 | 11.43 | 28.79,2.70,0.00 | 70.00 | 25.00 | 5.00,1.08,0.00 | 0.00 | 62.50 | 37.50,1.89,0.00 | 0.00 | 0.00 | 100.00,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x0  [x0]
100.00,81.48 | 18.49 | 0.03 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,(null),0,(null),(null),(null)
100.00,76.44 | 23.53 | 0.03 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,ldrb w2  [x1  x0]
100.00,58.33 | 41.64 | 0.02 | 0.02,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [x3  #0x10]
100.00,81.15 | 18.84 | 0.02 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,561,"                  : compare_(next->Key(), key_decoded);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldr x3  [x3  #0x10]
