Avg. Issue Latency,Count,Location,Line Number,Line,Function,Assembly,Saturated
130.47,12526,(null),0,(null),(null),(null),0
132.48,12291,(null),0,(null),(null),(null),0
126.26,12281,(null),0,(null),(null),(null),0
93.91,12145,/home/ubuntu/rocksdb/util/coding.h,108,"    uint32_t result = *(reinterpret_cast<const unsigned char*>(p));",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldrb w19  [x1],0
100.65,11162,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x0  [x1],0
150.74,5955,(null),0,(null),(null),(null),0
148.79,5945,(null),0,(null),(null),(null),0
144.87,5850,(null),0,(null),(null),(null),0
107.76,5810,/home/ubuntu/rocksdb/util/coding.h,108,"    uint32_t result = *(reinterpret_cast<const unsigned char*>(p));",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldrb w19  [x1],0
114.95,5306,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x0  [x1],0
8.66,36267,(null),0,(null),(null),(null),0
13.82,12020,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,ldrb w2  [x1  x0],0
15.42,10284,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,561,"                  : compare_(next->Key(), key_decoded);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldr x3  [x3  #0x10],0
12.79,11912,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [x3  #0x10],0
12.37,12072,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldrb w0  [x23  x0],0
8.50,17283,(null),0,(null),(null),(null),0
88.74,1605,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x0  [x0],0
11.84,11873,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x23  x0],0
11.15,12042,/home/ubuntu/rocksdb/db/memtable.cc,338,"}",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x2  [x1],0
10.63,12364,(null),0,(null),(null),(null),0
10.94,12001,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,str x1  [x23  x0],0
81.47,1484,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x0  [x0],0
9.71,12099,/home/ubuntu/rocksdb/db/memtable.cc,334,"    const char* prefix_len_key, const KeyComparator::DecodedType& key) const {",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x0  [x4],0
10.39,10206,/home/ubuntu/rocksdb/memtable/inlineskiplist.h,561,"                  : compare_(next->Key(), key_decoded);",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldr x3  [x0],0
11.82,8341,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZNK7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE18FindGreaterOrEqualEPKcPPNS5_4NodeE,ldar x19  [x2],0
8.14,12009,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,33,"    return user_comparator_->Compare(a, b);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x3  [x3  #0x20],0
8.13,11973,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,ldr x2  [x0  #0xa38],0
7.80,12217,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x0  #0xae8],0
7.50,11883,???,0,???,???,???,0
6.77,12508,???,0,???,???,???,0
6.89,12019,/home/ubuntu/rocksdb/db/dbformat.h,328,"  return Slice(internal_key.data(), internal_key.size() - kNumInternalBytes);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldp x2  x1  [x20],0
6.64,12162,/home/ubuntu/rocksdb/db/dbformat.h,1111,"  int r = user_comparator_.Compare(ExtractUserKey(akey), ExtractUserKey(bkey));",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,stp x2  x1  [sp  #0x48],0
102.19,789,/usr/include/c++/11/bits/atomic_base.h,820,"	return __atomic_load_n(&_M_p, int(__m));",_ZN7rocksdb14InlineSkipListIRKNS_11MemTableRep13KeyComparatorEE21RecomputeSpliceLevelsERKNS_5SliceEPNS5_6SpliceEi,ldar x0  [x0],0
6.53,12129,/home/ubuntu/rocksdb/util/user_comparator_wrapper.h,32,"    PERF_COUNTER_ADD(user_key_comparison_count, 1);",_ZNK7rocksdb8MemTable13KeyComparatorclEPKcRKNS_5SliceE,ldr x1  [x0  #0xa88],0
6.40,12338,/home/ubuntu/rocksdb/monitoring/perf_context.cc,172,"thread_local PerfContext perf_context;",__tls_init,ldp x29  x30  [sp]  #0x20,0
13.64,5766,/home/ubuntu/rocksdb/monitoring/perf_context.cc,319,"}  // namespace ROCKSDB_NAMESPACE",__tls_init,ldrb w2  [x1  x0],0
