Type,Count,Avg_Total_Lat,Avg_Issue_Lat,Not_Taken,Mispredicted,Saturated,Location,Line,Function,Assembly
COND,67280,8.06,7.06,0,0,0,/home/ubuntu/STREAM/stream.c:315,	    c[j] = a[j];,main._omp_fn.4,b.ne #0xd20
COND,67098,6.89,5.89,0,0,0,/home/ubuntu/STREAM/stream.c:335,	    c[j] = a[j]+b[j];,main._omp_fn.6,b.ne #0xc0c
COND,67140,6.60,5.60,0,0,0,/home/ubuntu/STREAM/stream.c:325,	    b[j] = scalar*c[j];,main._omp_fn.5,b.ne #0xc9c
COND,67585,6.22,5.22,0,0,0,/home/ubuntu/STREAM/stream.c:345,	    a[j] = b[j]+scalar*c[j];,main._omp_fn.7,b.ne #0xb78
COND,33996,11.81,10.81,0,0,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e514,(null),???,b.eq #0x1e500
COND,33875,10.88,9.88,33875,0,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e508,(null),???,b.eq #0x1e548
COND,33137,9.27,8.27,0,0,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e264,(null),???,b.eq #0x1e250
COND,33285,6.52,5.52,33285,0,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e258,(null),???,b.eq #0x1e288
COND,4,950.75,949.75,4,0,0,/home/ubuntu/hotline_c/hotline.c:646,???,process_record_buffer,b.hi #0x466ee8
COND,3,1217.67,1216.67,3,0,0,/home/ubuntu/hotline_c/hotline.c:600,???,process_record_buffer,b.hs #0x466ee8
COND,1,2686.00,2685.00,1,0,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1829a08,(null),_ZN12v8_inspector18V8InspectorSession17canDispatchMethodENS_10StringViewE,ldr x19  [sp  #0x10]
COND,2,960.00,959.00,2,0,0,/home/ubuntu/hotline_c/hotline.c:617,???,process_record_buffer,b.eq #0x466fa0
