L1 (%),L1 bins (% | % | % | %),L2 (%),L2 bins (% | % | % | %),L3 (%),L3 bins (% | % | % | %),DRAM (%),DRAM bins (% | % | % | %),Location,Line,Function,Assembly
99.95,0.00 | 66.35 | 8.82 | 24.83,0.04,0.00 | 17.24 | 37.93 | 44.83,0.00,0.00 | 0.00 | 0.00 | 0.00,0.01,0.00 | 0.00 | 0.00 | 100.00,/home/ubuntu/STREAM/stream.c:335,	    c[j] = a[j]+b[j];,main._omp_fn.6,ldr d1  [x2  x0  lsl #3]
99.95,0.00 | 70.29 | 7.82 | 21.89,0.05,0.00 | 8.57 | 37.14 | 54.29,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 100.00,/home/ubuntu/STREAM/stream.c:345,	    a[j] = b[j]+scalar*c[j];,main._omp_fn.7,ldr d1  [x0  x1  lsl #3]
99.96,0.00 | 72.01 | 8.05 | 19.95,0.03,0.00 | 17.39 | 34.78 | 47.83,0.00,0.00 | 0.00 | 0.00 | 0.00,0.01,0.00 | 0.00 | 0.00 | 100.00,/home/ubuntu/STREAM/stream.c:335,	    c[j] = a[j]+b[j];,main._omp_fn.6,ldr d0  [x3  x0  lsl #3]
99.98,0.00 | 86.50 | 1.38 | 12.12,0.01,0.00 | 50.00 | 20.00 | 30.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.01,0.00 | 0.00 | 0.00 | 100.00,/home/ubuntu/STREAM/stream.c:325,	    b[j] = scalar*c[j];,main._omp_fn.5,ldr d0  [x0  x1  lsl #3]
99.97,0.00 | 86.43 | 1.41 | 12.16,0.03,0.00 | 58.82 | 11.76 | 29.41,0.00,0.00 | 0.00 | 0.00 | 0.00,0.01,0.00 | 0.00 | 0.00 | 100.00,/home/ubuntu/STREAM/stream.c:315,	    c[j] = a[j];,main._omp_fn.4,ldr d0  [x2  x0  lsl #3]
99.93,0.00 | 75.50 | 6.95 | 17.56,0.06,0.00 | 34.21 | 26.32 | 39.47,0.00,0.00 | 0.00 | 0.00 | 0.00,0.01,0.00 | 0.00 | 0.00 | 100.00,/home/ubuntu/STREAM/stream.c:345,	    a[j] = b[j]+scalar*c[j];,main._omp_fn.7,ldr d0  [x3  x1  lsl #3]
100.00,55.81 | 10.98 | 13.26 | 19.95,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/STREAM/stream.c:335,	    c[j] = a[j]+b[j];,main._omp_fn.6,str d0  [x4  x0  lsl #3]
100.00,65.74 | 8.27 | 11.68 | 14.31,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/STREAM/stream.c:315,	    c[j] = a[j];,main._omp_fn.4,str d0  [x3  x0  lsl #3]
100.00,67.54 | 5.26 | 11.03 | 16.18,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/STREAM/stream.c:345,	    a[j] = b[j]+scalar*c[j];,main._omp_fn.7,str d0  [x4  x1  lsl #3]
100.00,70.65 | 8.15 | 9.88 | 11.32,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/STREAM/stream.c:325,	    b[j] = scalar*c[j];,main._omp_fn.5,str d0  [x3  x1  lsl #3]
100.00,99.99 | 0.01 | 0.00 | 0.01,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e25c,(null),???,ldr w2  [x23]
100.00,99.99 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e50c,(null),???,ldr w2  [x25]
100.00,0.00 | 0.00 | 0.00 | 100.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x220d2ac,(null),_ZSt10from_charsItENSt9enable_ifIXsrSt5__or_IJS1_IJSt7is_sameINSt9remove_cvIT_E4typeEaES2_IS6_sES2_IS6_iES2_IS6_lES2_IS6_xES2_IS6_nEEES1_IJS2_IS6_hES2_IS6_tES2_IS6_jES2_IS6_mES2_IS6_yES2_IS6_oEEES2_IcS6_EEE5valueESt17from_chars_resultE4typeEPKcSR_RS4_i,b #0x220d188
0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,100.00,0.00 | 0.00 | 0.00 | 100.00,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/strlen_asimd.S:96,???,???,ldp x2  x3  [x0]
50.00,100.00 | 0.00 | 0.00 | 0.00,50.00,0.00 | 50.00 | 0.00 | 50.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:631,???,process_record_buffer,ldr x0  [x28  #0x18]
100.00,0.00 | 0.00 | 0.00 | 100.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1beb8,(null),???,str x2  [x26  #8]
100.00,0.00 | 0.00 | 0.00 | 100.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1be9c,(null),???,ldr x2  [x26  #0x58]
100.00,0.00 | 0.00 | 0.00 | 100.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x15e80,(null),???,stp q0  q1  [x3]
100.00,98.86 | 1.14 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/strcmp.S:77,???,???,ldr x3  [x0  x10]
100.00,96.88 | 3.12 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/strcmp.S:78,???,???,ldr x2  [x0]  #8
0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,100.00,0.00 | 0.00 | 0.00 | 100.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/STREAM/stream.DRAM:0x924,(null),???,???
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/aperf:0x28d1e4,(null),???,???
100.00,100.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:278,???,add_global_filename,ldr x0  [x20  x19  lsl #3]
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e530,(null),???,ldp x21  x22  [sp  #0x20]
100.00,88.89 | 0.00 | 11.11 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe91c,(null),???,???
100.00,33.33 | 66.67 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:223,???,vm_spe_btree_compare,ldr w3  [x2  #4]
91.67,36.36 | 63.64 | 0.00 | 0.00,8.33,0.00 | 100.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:223,???,vm_spe_btree_compare,ldr w0  [x1  #4]
100.00,58.33 | 41.67 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:207,???,btree_node_bsearch,ldr x2  [x20  #0x38]
100.00,44.44 | 55.56 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:136,???,btree_node_bsearch,ldr x1  [x20  #0x68]
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:786,???,process_aux_record,ldr x0  [sp  #0x48]
100.00,25.00 | 75.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:207,???,btree_node_bsearch,ldr x4  [x20  #0x18]
100.00,14.29 | 85.71 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:136,???,btree_node_bsearch,ldr x2  [x25  #8]
100.00,50.00 | 50.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:228,???,vm_spe_btree_compare,ldr x4  [x2  #8]
100.00,33.33 | 33.33 | 33.33 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:708,???,process_record_buffer,ldp x27  x28  [sp  #0x50]
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/hotline.c:525,???,parse_spe_record,ldr x2  [sp  #0x10]
100.00,0.00 | 0.00 | 100.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/usr/lib/aarch64-linux-gnu/libc.so.6:0x12fe00,(null),???,???
100.00,25.00 | 75.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,0.00,0.00 | 0.00 | 0.00 | 0.00,/home/ubuntu/hotline_c/btree.c:488,???,btree_search,ldp x19  x20  [sp  #0x10]
