Avg Exec Latency,Count,Saturated,Location,Line,Function,Assembly
169.96,67055,0,/home/ubuntu/STREAM/stream.c:335,	    c[j] = a[j]+b[j];,main._omp_fn.6,ldr d1  [x2  x0  lsl #3]
145.33,67302,0,/home/ubuntu/STREAM/stream.c:345,	    a[j] = b[j]+scalar*c[j];,main._omp_fn.7,ldr d1  [x0  x1  lsl #3]
136.08,67674,0,/home/ubuntu/STREAM/stream.c:335,	    c[j] = a[j]+b[j];,main._omp_fn.6,ldr d0  [x3  x0  lsl #3]
124.39,67499,0,/home/ubuntu/STREAM/stream.c:325,	    b[j] = scalar*c[j];,main._omp_fn.5,ldr d0  [x0  x1  lsl #3]
125.16,67005,0,/home/ubuntu/STREAM/stream.c:315,	    c[j] = a[j];,main._omp_fn.4,ldr d0  [x2  x0  lsl #3]
119.10,67691,0,/home/ubuntu/STREAM/stream.c:345,	    a[j] = b[j]+scalar*c[j];,main._omp_fn.7,ldr d0  [x3  x1  lsl #3]
95.75,67249,0,/home/ubuntu/STREAM/stream.c:335,	    c[j] = a[j]+b[j];,main._omp_fn.6,str d0  [x4  x0  lsl #3]
75.65,67643,0,/home/ubuntu/STREAM/stream.c:315,	    c[j] = a[j];,main._omp_fn.4,str d0  [x3  x0  lsl #3]
74.93,67175,0,/home/ubuntu/STREAM/stream.c:345,	    a[j] = b[j]+scalar*c[j];,main._omp_fn.7,str d0  [x4  x1  lsl #3]
51.18,67446,0,/home/ubuntu/STREAM/stream.c:325,	    b[j] = scalar*c[j];,main._omp_fn.5,str d0  [x3  x1  lsl #3]
4.15,33495,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e25c,(null),???,ldr w2  [x23]
4.00,33765,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e50c,(null),???,ldr w2  [x25]
2774.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x220d2ac,(null),_ZSt10from_charsItENSt9enable_ifIXsrSt5__or_IJS1_IJSt7is_sameINSt9remove_cvIT_E4typeEaES2_IS6_sES2_IS6_iES2_IS6_lES2_IS6_xES2_IS6_nEEES1_IJS2_IS6_hES2_IS6_tES2_IS6_jES2_IS6_mES2_IS6_yES2_IS6_oEEES2_IcS6_EEE5valueESt17from_chars_resultE4typeEPKcSR_RS4_i,b #0x220d188
2081.00,1,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/strlen_asimd.S:96,???,???,ldp x2  x3  [x0]
327.00,4,0,/home/ubuntu/hotline_c/hotline.c:631,???,process_record_buffer,ldr x0  [x28  #0x18]
555.00,1,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1beb8,(null),???,str x2  [x26  #8]
391.00,1,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1be9c,(null),???,ldr x2  [x26  #0x58]
358.00,1,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x15e80,(null),???,stp q0  q1  [x3]
4.02,88,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/strcmp.S:77,???,???,ldr x3  [x0  x10]
4.06,64,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/strcmp.S:78,???,???,ldr x2  [x0]  #8
202.00,1,0,/home/ubuntu/STREAM/stream.DRAM:0x924,(null),???,???
4.00,41,0,/home/ubuntu/aperf:0x28d1e4,(null),???,???
4.00,31,0,/home/ubuntu/hotline_c/hotline.c:278,???,add_global_filename,ldr x0  [x20  x19  lsl #3]
84.00,1,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e530,(null),???,ldp x21  x22  [sp  #0x20]
4.61,18,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe91c,(null),???,???
6.42,12,0,/home/ubuntu/hotline_c/hotline.c:223,???,vm_spe_btree_compare,ldr w3  [x2  #4]
6.08,12,0,/home/ubuntu/hotline_c/hotline.c:223,???,vm_spe_btree_compare,ldr w0  [x1  #4]
5.83,12,0,/home/ubuntu/hotline_c/btree.c:207,???,btree_node_bsearch,ldr x2  [x20  #0x38]
6.56,9,0,/home/ubuntu/hotline_c/btree.c:136,???,btree_node_bsearch,ldr x1  [x20  #0x68]
29.00,2,0,/home/ubuntu/hotline_c/hotline.c:786,???,process_aux_record,ldr x0  [sp  #0x48]
7.71,7,0,/home/ubuntu/hotline_c/btree.c:136,???,btree_node_bsearch,ldr x2  [x25  #8]
