Avg X Latency,Count,Saturated,Location,Line,Function,Assembly
0.00,67643,0,/home/ubuntu/STREAM/stream.c:315,	    c[j] = a[j];,main._omp_fn.4,str d0  [x3  x0  lsl #3]
0.00,67249,0,/home/ubuntu/STREAM/stream.c:335,	    c[j] = a[j]+b[j];,main._omp_fn.6,str d0  [x4  x0  lsl #3]
0.00,67446,0,/home/ubuntu/STREAM/stream.c:325,	    b[j] = scalar*c[j];,main._omp_fn.5,str d0  [x3  x1  lsl #3]
0.00,67175,0,/home/ubuntu/STREAM/stream.c:345,	    a[j] = b[j]+scalar*c[j];,main._omp_fn.7,str d0  [x4  x1  lsl #3]
0.00,67055,0,/home/ubuntu/STREAM/stream.c:335,	    c[j] = a[j]+b[j];,main._omp_fn.6,ldr d1  [x2  x0  lsl #3]
0.00,67674,0,/home/ubuntu/STREAM/stream.c:335,	    c[j] = a[j]+b[j];,main._omp_fn.6,ldr d0  [x3  x0  lsl #3]
0.00,67691,0,/home/ubuntu/STREAM/stream.c:345,	    a[j] = b[j]+scalar*c[j];,main._omp_fn.7,ldr d0  [x3  x1  lsl #3]
0.00,67302,0,/home/ubuntu/STREAM/stream.c:345,	    a[j] = b[j]+scalar*c[j];,main._omp_fn.7,ldr d1  [x0  x1  lsl #3]
0.00,67005,0,/home/ubuntu/STREAM/stream.c:315,	    c[j] = a[j];,main._omp_fn.4,ldr d0  [x2  x0  lsl #3]
0.00,67499,0,/home/ubuntu/STREAM/stream.c:325,	    b[j] = scalar*c[j];,main._omp_fn.5,ldr d0  [x0  x1  lsl #3]
0.00,33495,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e25c,(null),???,ldr w2  [x23]
0.00,33765,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1e50c,(null),???,ldr w2  [x25]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1817fe8,(null),_ZN12v8_inspector10V8Debugger13stackTraceForEiRKNS_14V8StackTraceIdE,ldp x19  x20  [sp  #0x10]
0.00,88,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/strcmp.S:77,???,???,ldr x3  [x0  x10]
0.00,64,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/strcmp.S:78,???,???,ldr x2  [x0]  #8
0.00,1,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x15e80,(null),???,stp q0  q1  [x3]
0.00,41,0,/home/ubuntu/aperf:0x28d1e4,(null),???,???
0.00,31,0,/home/ubuntu/hotline_c/hotline.c:278,???,add_global_filename,ldr x0  [x20  x19  lsl #3]
0.00,4,0,/home/ubuntu/hotline_c/hotline.c:631,???,process_record_buffer,ldr x0  [x28  #0x18]
0.00,1,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x15e8c,(null),???,str xzr  [x0  #0xd0]
0.00,18,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe91c,(null),???,???
0.00,12,0,/home/ubuntu/hotline_c/hotline.c:223,???,vm_spe_btree_compare,ldr w0  [x1  #4]
0.00,14,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbfe920,(null),???,???
0.00,3,0,/home/ubuntu/hotline_c/hotline.c:684,???,process_record_buffer,ldrh w1  [x28  #4]
0.00,1,0,/usr/lib/aarch64-linux-gnu/libgomp.so.1.0.0:0x1beb8,(null),???,str x2  [x26  #8]
0.00,2,0,/home/ubuntu/hotline_c/hotline.c:617,???,process_record_buffer,ldr w1  [x24  x4]
0.00,12,0,/home/ubuntu/hotline_c/hotline.c:223,???,vm_spe_btree_compare,ldr w3  [x2  #4]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:773,???,process_aux_record,ldr x0  [x4]
0.00,1,0,/home/ubuntu/hotline_c/hotline.c:389,???,pc_to_file_offset,ldr x4  [x4]
0.00,1,0,/usr/lib/aarch64-linux-gnu/libc.so.6:0x12fba0,(null),???,???
0.00,12,0,/home/ubuntu/hotline_c/btree.c:207,???,btree_node_bsearch,ldr x2  [x20  #0x38]
0.00,5,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:156,???,???,ldp q2  q3  [x1  #0x30]
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x241bbcc,(null),HUF_decompress4X2_usingDTable_internal_default.part.0,b #0x241b1d0
0.00,2,0,/home/ubuntu/hotline_c/hotline.c:388,???,pc_to_file_offset,ldr x5  [x0]
0.00,7,0,/home/ubuntu/hotline_c/btree.c:212,???,btree_node_bsearch,stp x19  x20  [sp  #0x10]
0.00,8,0,/home/ubuntu/hotline_c/btree.c:207,???,btree_node_bsearch,ldr x4  [x20  #0x18]
0.00,8,0,/home/ubuntu/hotline_c/hotline.c:228,???,vm_spe_btree_compare,ldr x4  [x2  #8]
0.00,2,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbf74b4,(null),???,???
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x1afe11c,(null),_ZN2v88internal4wasm7fuzzing24GenerateRandomWasmModuleILNS2_27WasmModuleGenerationOptionsE0EEENS_4base6VectorIhEEPNS0_4ZoneENS6_IKhEE,add x0  sp  #0x4d0
0.00,2,0,/usr/include/aarch64-linux-gnu/bits/string_fortified.h:29,  return __builtin___memcpy_chk (__dest, __src, __len,,parse_spe_record,ldur w2  [x0  #1]
0.00,9,0,/home/ubuntu/hotline_c/btree.c:136,???,btree_node_bsearch,ldr x1  [x20  #0x68]
0.00,3,0,/usr/lib/aarch64-linux-gnu/../sysdeps/aarch64/multiarch/memcpy_advsimd.S:174,???,???,stp q2  q3  [x3  #0x30]
0.00,7,0,/home/ubuntu/hotline_c/btree.c:136,???,btree_node_bsearch,ldr x2  [x25  #8]
0.00,2,0,/home/ubuntu/hotline_c/hotline.c:228,???,vm_spe_btree_compare,ldr x3  [x1  #8]
0.00,3,0,/home/ubuntu/hotline_c/btree.c:646,???,btree_get0,ldr x2  [x1]
0.00,2,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0xbf2aa8,(null),???,???
0.00,3,0,/home/ubuntu/hotline_c/hotline.c:388,???,pc_to_file_offset,ldr x7  [x0  #8]
0.00,2,0,/usr/include/aarch64-linux-gnu/bits/string_fortified.h:29,  return __builtin___memcpy_chk (__dest, __src, __len,,parse_spe_record,ldr w2  [x0  #4]
0.00,2,0,/home/ubuntu/hotline_c/hotline.c:757,???,process_aux_buffer,str x19  [x20  #0x30]
0.00,5,0,/home/ubuntu/aperf:0x28c834,(null),???,???
0.00,1,0,/home/ubuntu/.vscode-server/cli/servers/Stable-2901c5ac6db8a986a5666c3af51ff804d05af0d4/server/node:0x14c182c,(null),_ZN2v88internal25InternalStringToIntDoubleILi5EPKtS3_EEdT0_T1_bb,sub w4  w4  #0x57
0.00,4,0,/home/ubuntu/hotline_c/btree.c:488,???,btree_search,ldp x19  x20  [sp  #0x10]
0.00,4,0,/home/ubuntu/hotline_c/btree.c:212,???,btree_node_bsearch,stp x23  x24  [sp  #0x30]
0.00,2,0,/home/ubuntu/hotline_c/btree.c:625,???,btree_set0,ldr x1  [x0]
0.00,3,0,/home/ubuntu/hotline_c/btree.c:559,???,btree_node_set,ldr x3  [sp  #0x78]
0.00,2,0,/home/ubuntu/hotline_c/btree.c:529,???,btree_node_set,ldrb w0  [x19  #4]
